agentkeepalive,github.com/TBEDP/agentkeepalive,4.7,0,4,-1,0,10,-1,6,0,-1,10,10,0,10,7,0,0
ajv,github.com/ajv-validator/ajv,7.6,7,-1,10,2,10,10,0,10,-1,10,10,7,10,0,-1,8
align-text,github.com/jonschlinkert/align-text,4.8,0,0,-1,0,10,-1,0,-1,10,10,10,0,10,10,0,0
amdefine,github.com/jrburke/amdefine,4.8,-1,0,0,0,10,0,10,10,-1,10,10,10,0,-1,0,0
ansi-align,github.com/nexdrew/ansi-align,5.6,8,0,-1,0,10,-1,10,10,10,10,0,10,-1,0,0,0
append-field,github.com/idiocc/append-field,4.8,0,0,-1,0,10,10,10,-1,10,0,10,10,0,-1,0,0
append-transform,github.com/istanbuljs/append-transform,5.6,-1,0,2,0,-1,0,10,10,-1,0,10,10,10,10,10,0
aproba,github.com/iarna/aproba,4.9,-1,0,1,0,10,-1,10,10,0,10,10,10,0,-1,0,0
argparse,github.com/akamensky/argparse,5.5,-1,7,0,0,10,0,-1,10,10,10,10,10,0,0,-1,0
arr-diff,github.com/jonschlinkert/arr-diff,4.8,0,0,-1,0,10,-1,10,10,-1,0,10,10,10,0,0,0
arr-flatten,github.com/jonschlinkert/arr-flatten,4.8,-1,0,0,0,10,-1,0,10,10,-1,0,10,10,10,0,0
arr-union,github.com/jonschlinkert/arr-union,4.8,-1,0,0,0,-1,10,0,10,0,-1,10,10,10,10,0,0
array-flatten,github.com/blakeembrey/array-flatten,5.5,0,-1,7,0,10,-1,0,10,10,-1,10,10,0,10,0,0
array-unique,github.com/jonschlinkert/array-unique,4.8,0,-1,0,0,10,-1,0,0,10,10,10,10,10,-1,0,0
arrify,github.com/sindresorhus/arrify,4.7,0,-1,2,0,10,-1,0,10,10,0,-1,0,10,10,9,0
