name, starcount, description, official
flyinprogrammer/mkpasswd, 5, Quickly create /etc/shadow passwords with mk…, 
rackhd/on-core, 3, Provides common node.js libraries for applic…, 
jpressio/jpress, 4, jpress, 
linuxserver/libreoffice, 19, , 
bitcoinsv/spvchannels, 2, , 
intel/openfl, 2, Open Federated Learning (OpenFL) is a Python…, 
cthdidit/sefilm-frontend, 2, The frontend for SeFilm, 
mbentley/ums, 10, , 
byxiaopeng/clash, 3, , 
cytopia/golint, 2, Alpine-based multistage-build version of gol…, 
nllong/openstudio, 4, , 
fnordmetric/fnordmetric-server, 4, FnordMetric Server, 
gjovanov/roomler, 2, , 
severalnines/mariadb, 7, A homogeneous MariaDB Galera Cluster image t…, 
dzwicker/docker-hub, 2, Docker image for Jetbrains HUB, 
zzrot/alpine-ghost, 16, Docker Image running Ghost Blogging Service …, 
adolfintel/speedtest, 228, Self-hosted HTML5 Speedtest, 
nowsci/samba-domain, 35, A well documented and tested Samba Active Di…, 
ibmcom/informix-rpi, 8, IBM Informix Developer Edition for Raspberry…, 
ksator/junos-automation-tools, 2, Various tools for junos automation (Python l…, 
rbgoodall/signal-desktop, 2, Run Signal-Desktop in a Docker container., 
wurstmeister/storm-ui, 13, Storm 0.9 UI, 
lnzap/lnd, 2, Docker image that runs lnd in a container., 
continuumio/conda-ci-linux-64-python3.8, 7, , 
xetusoss/ossec-server, 9, OSSEC server image with configurable syslog …, 
mrdreambot/arm32-busybox-httpd, 2, busybox-httpd for the ODROID XU4, 
mwienk/php-deployer, 2, PHP Deployer docker image (https://deployer.…, 
6fusion/vmware-meter, 2, 6fusion's containerized VMware metering tech…, 
mylandmarktech/hello, 2, , 
ruffsl/arm32v7_ros2, 3, ROS2 images for arm32v7, 
d3fk/nfs-client, 20, A small docker NFS client. Perfect for enabl…, 
psono/psono-admin-client, 4, The admin panel of the PSONO password manager, 
digitalocean/do-csi-plugin, 5, DigitalOcean CSI Plugin for DigitalOcean Blo…, 
usman/magento, 3, , 
icinga/icingadb, 2, , 
woodpeckerci/woodpecker-server, 3, , 
jcsaaddupuy/radicale, 2, , 
btcpayserver/btcpayserver, 11, BTCPay Server is an open source, self-hosted…, 
raccourci/php56, 4, , 
circleci/build-image, 13, This image is primarily for internal use, 
kaazing/enterprise-gateway, 3, Official build of the Enterprise Edition of …, 
